T,mbatch,time_cost,best,lowerbound
4,2,4.419656038284302,34435.0,14817.0
4,2,4.457619905471802,23154.0,14814.0
4,2,4.463315963745117,34279.0,14820.0
4,2,4.395689964294434,23154.0,14819.0
4,2,4.5688676834106445,34435.0,14817.0
4,3,4.675863027572632,28334.0,14493.0
4,3,4.53041410446167,28334.0,14494.0
4,3,4.571311950683594,28334.0,14492.0
4,3,4.741822242736816,28334.0,14490.0
4,3,6.121346950531006,28243.0,14489.0
4,3,4.591059923171997,28334.0,14491.0
4,3,4.850205898284912,28334.0,14490.0
4,3,4.547445058822632,28334.0,14491.0
4,3,4.612598180770874,28334.0,14490.0
4,3,5.118207931518555,28334.0,14492.0
4,4,4.679664134979248,28526.0,14199.0
4,4,4.77178692817688,28526.0,14198.0
4,4,5.923022747039795,28939.0,14195.0
4,4,4.868075132369995,28526.0,14197.0
4,4,4.914981842041016,28526.0,14197.0
4,4,4.864392995834351,28113.0,14198.0
4,4,8.991934061050415,28938.0,14196.0
4,4,5.1527018547058105,28526.0,14197.0
4,4,5.185697078704834,28526.0,14198.0
4,4,4.797553777694702,28526.0,14198.0
4,5,4.755713701248169,28029.0,14025.0
4,5,4.741686105728149,28029.0,14025.0
4,5,4.8035502433776855,28029.0,14025.0
4,5,5.0285398960113525,28029.0,14024.0
4,5,5.1285388469696045,28029.0,14023.0
4,5,4.868355989456177,28029.0,14025.0
4,5,4.789283037185669,28029.0,14025.0
4,5,4.776618957519531,28029.0,14025.0
4,5,4.879660129547119,28029.0,14024.0
4,5,4.894377946853638,28029.0,14025.0
4,6,5.044353008270264,49241.0,13860.0
4,6,5.558038234710693,29224.0,13860.0
4,6,4.882206916809082,48659.0,13862.0
4,6,4.866447925567627,48659.0,13862.0
4,6,4.870321035385132,29096.0,13862.0
4,6,4.852518081665039,29096.0,13862.0
4,6,4.8873450756073,29096.0,13862.0
4,6,4.85210394859314,48659.0,13862.0
4,6,4.906653165817261,48659.0,13862.0
4,6,4.871672630310059,29096.0,13862.0
4,7,4.9938318729400635,29581.0,13769.0
4,7,5.1232218742370605,29581.0,13768.0
4,7,5.207476854324341,29581.0,13769.0
4,7,5.0490429401397705,29581.0,13769.0
4,7,5.063317060470581,29581.0,13768.0
4,7,5.001842975616455,29581.0,13769.0
4,7,4.99859094619751,29581.0,13769.0
4,7,5.008975028991699,29581.0,13769.0
4,7,5.008887767791748,29581.0,13769.0
4,7,5.01059103012085,29581.0,13769.0
4,8,5.140215158462524,33071.0,13691.0
4,8,5.240533828735352,33072.0,13691.0
4,8,5.149138927459717,33072.0,13691.0
4,8,5.212269067764282,33071.0,13691.0
4,8,5.126364231109619,33071.0,13691.0
